Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,2577.750000,2580.030029,2568.250000,2572.830078,2572.830078,3658870000
2017-10-31,2575.989990,2578.290039,2572.149902,2575.260010,2575.260010,3827230000
2017-11-01,2583.209961,2588.399902,2574.919922,2579.360107,2579.360107,3813180000
2017-11-02,2579.459961,2581.110107,2566.169922,2579.850098,2579.850098,4048270000
2017-11-03,2581.929932,2588.419922,2576.770020,2587.840088,2587.840088,3567710000
2017-11-06,2587.469971,2593.379883,2585.659912,2591.129883,2591.129883,3539080000
2017-11-07,2592.110107,2597.020020,2584.350098,2590.639893,2590.639893,3809650000
2017-11-08,2588.709961,2595.469971,2585.020020,2594.379883,2594.379883,3899360000
2017-11-09,2584.000000,2586.500000,2566.330078,2584.620117,2584.620117,3831610000
2017-11-10,2580.179932,2583.810059,2575.570068,2582.300049,2582.300049,3486910000
2017-11-13,2576.530029,2587.659912,2574.479980,2584.840088,2584.840088,3402930000
2017-11-14,2577.750000,2579.659912,2566.560059,2578.870117,2578.870117,3641760000
2017-11-15,2569.449951,2572.840088,2557.449951,2564.620117,2564.620117,3558890000
2017-11-16,2572.949951,2590.090088,2572.949951,2585.639893,2585.639893,3312710000
2017-11-17,2582.939941,2583.959961,2577.620117,2578.850098,2578.850098,3300160000
2017-11-20,2579.489990,2584.639893,2578.239990,2582.139893,2582.139893,3003540000
2017-11-21,2589.169922,2601.189941,2589.169922,2599.030029,2599.030029,3332720000
2017-11-22,2600.310059,2600.939941,2595.229980,2597.080078,2597.080078,2762950000
2017-11-24,2600.419922,2604.209961,2600.419922,2602.419922,2602.419922,1349780000
2017-11-27,2602.659912,2606.409912,2598.870117,2601.419922,2601.419922,3006860000
2017-11-28,2605.939941,2627.689941,2605.439941,2627.040039,2627.040039,3488420000
2017-11-29,2627.820068,2634.889893,2620.320068,2626.070068,2626.070068,4078280000
2017-11-30,2633.929932,2657.739990,2633.929932,2647.580078,2647.580078,4938490000
2017-12-01,2645.100098,2650.620117,2605.520020,2642.219971,2642.219971,3942320000
2017-12-04,2657.189941,2665.189941,2639.030029,2639.439941,2639.439941,4023150000
2017-12-05,2639.780029,2648.719971,2627.729980,2629.570068,2629.570068,3539040000
2017-12-06,2626.239990,2634.409912,2624.750000,2629.270020,2629.270020,3229000000
2017-12-07,2628.379883,2640.989990,2626.530029,2636.979980,2636.979980,3292400000
2017-12-08,2646.209961,2651.649902,2644.100098,2651.500000,2651.500000,3106150000
2017-12-11,2652.189941,2660.330078,2651.469971,2659.989990,2659.989990,3091950000
2017-12-12,2661.729980,2669.719971,2659.780029,2664.110107,2664.110107,3555680000
2017-12-13,2667.590088,2671.879883,2662.850098,2662.850098,2662.850098,3542370000
2017-12-14,2665.870117,2668.090088,2652.010010,2652.010010,2652.010010,3430030000
2017-12-15,2660.629883,2679.629883,2659.139893,2675.810059,2675.810059,5723920000
2017-12-18,2685.919922,2694.969971,2685.919922,2690.159912,2690.159912,3724660000
2017-12-19,2692.709961,2694.439941,2680.739990,2681.469971,2681.469971,3368590000
2017-12-20,2688.179932,2691.010010,2676.110107,2679.250000,2679.250000,3241030000
2017-12-21,2683.020020,2692.639893,2682.399902,2684.570068,2684.570068,3273390000
2017-12-22,2684.219971,2685.350098,2678.129883,2683.340088,2683.340088,2399830000
2017-12-26,2679.090088,2682.739990,2677.959961,2680.500000,2680.500000,1968780000
2017-12-27,2682.100098,2685.639893,2678.909912,2682.620117,2682.620117,2202080000
2017-12-28,2686.100098,2687.659912,2682.689941,2687.540039,2687.540039,2153330000
2017-12-29,2689.149902,2692.120117,2673.610107,2673.610107,2673.610107,2443490000
2018-01-02,2683.729980,2695.889893,2682.360107,2695.810059,2695.810059,3357250000
2018-01-03,2697.850098,2714.370117,2697.770020,2713.060059,2713.060059,3538660000
2018-01-04,2719.310059,2729.290039,2719.070068,2723.989990,2723.989990,3695260000
2018-01-05,2731.330078,2743.449951,2727.919922,2743.149902,2743.149902,3236620000
2018-01-08,2742.669922,2748.510010,2737.600098,2747.709961,2747.709961,3242650000
2018-01-09,2751.149902,2759.139893,2747.860107,2751.290039,2751.290039,0
2018-01-10,2745.550049,2750.800049,2736.060059,2748.229980,2748.229980,3576350000
2018-01-11,2752.969971,2767.560059,2752.780029,2767.560059,2767.560059,3641320000
2018-01-12,2770.179932,2787.850098,2769.639893,2786.239990,2786.239990,3573970000
2018-01-16,2798.959961,2807.540039,2768.639893,2776.419922,2776.419922,4325970000
2018-01-17,2784.989990,2807.040039,2778.379883,2802.560059,2802.560059,3778050000
2018-01-18,2802.399902,2805.830078,2792.560059,2798.030029,2798.030029,3681470000
2018-01-19,2802.600098,2810.330078,2798.080078,2810.300049,2810.300049,3609430000
2018-01-22,2809.159912,2833.030029,2808.120117,2832.969971,2832.969971,3471780000
2018-01-23,2835.050049,2842.239990,2830.590088,2839.129883,2839.129883,3519650000
2018-01-24,2845.419922,2852.969971,2824.810059,2837.540039,2837.540039,4014070000
2018-01-25,2846.239990,2848.560059,2830.939941,2839.250000,2839.250000,3835150000
2018-01-26,2847.479980,2872.870117,2846.179932,2872.870117,2872.870117,3443230000
